,tau,horizon,coeff,tval,pval,lower_ci,upper_ci,pseudo_r2
domestic_fci,0.5,4,-0.39545798320326314,-4.238976115105202,0.00017815819553994102,-0.5854853695463494,-0.20543059686017684,0.6008810160849418
leverage,0.5,4,0.001562794275857065,0.013544940288177322,0.9892771288397553,-0.23345542667860397,0.2365810152303181,0.6008810160849418
trade_partners_macro,0.5,4,0.9280569534277937,4.005999462411018,0.0003443784868435356,0.4561671863908964,1.399946720464691,0.6008810160849418
euro_area_fci,0.5,4,0.0318936969937267,0.2526498242835583,0.802154729595697,-0.22524218282316205,0.2890295768106154,0.6008810160849418
world_fci,0.5,4,0.06920210508244057,0.768186034039725,0.44800881888463473,-0.11429521071588791,0.252699420880769,0.6008810160849418
autoreg,0.5,4,-0.16474992109498812,-0.6853479120165361,0.49805948004252343,-0.6544057611826792,0.32490591899270294,0.6008810160849418
Intercept,0.75,4,0.14781193364556158,1.468907057221147,0.1516209097025852,-0.0571588674162429,0.3527827347073661,0.6030845899936812
domestic_fci,0.75,4,-0.24790752280134362,-1.912100349059674,0.06485165166536105,-0.5119998857032096,0.01618484010052243,0.6030845899936812
leverage,0.75,4,0.14485713013227275,0.89551897110521,0.3771969003172353,-0.18463261595340752,0.474346876217953,0.6030845899936812
trade_partners_macro,0.75,4,0.7534682172355118,2.139098238609254,0.040157279785837816,0.035986192696849995,1.4709502417741738,0.6030845899936812
euro_area_fci,0.75,4,0.17636381248016636,1.4338068077634136,0.16132730079815183,-0.07418690905042391,0.42691453401075663,0.6030845899936812
world_fci,0.75,4,0.07688165158483234,0.5598372685094466,0.5794885895030352,-0.20284749190427181,0.3566107950739365,0.6030845899936812
autoreg,0.75,4,-0.19396059137061133,-0.5505949317090908,0.585734964973937,-0.9115204037242466,0.5235992209830238,0.6030845899936812
Intercept,0.9,4,0.36268386391372687,,,,,0.6989554114353882
domestic_fci,0.9,4,-0.13219229631416002,,,,,0.6989554114353882
leverage,0.9,4,0.23458726373775837,,,,,0.6989554114353882
trade_partners_macro,0.9,4,0.9012163833375197,,,,,0.6989554114353882
euro_area_fci,0.9,4,-0.10912839007423371,,,,,0.6989554114353882
world_fci,0.9,4,0.195284267690192,,,,,0.6989554114353882
autoreg,0.9,4,-0.2396298580938013,,,,,0.6989554114353882
Intercept,0.1,8,-0.6703813311442373,,,,,0.5768036353457031
domestic_fci,0.1,8,-0.26049833535995226,,,,,0.5768036353457031
leverage,0.1,8,0.5328721176102735,,,,,0.5768036353457031
trade_partners_macro,0.1,8,0.3572337715945104,,,,,0.5768036353457031
euro_area_fci,0.1,8,-0.17289616529530946,,,,,0.5768036353457031
world_fci,0.1,8,0.10255049189689797,,,,,0.5768036353457031
autoreg,0.1,8,-0.10451817459108137,,,,,0.5768036353457031
Intercept,0.25,8,-0.5626600403500396,-4.234446701007037,0.00022344631790093867,-0.834845977837863,-0.29047410286221614,0.5179363731510043
domestic_fci,0.25,8,-0.35563658916403385,-2.3048829256522327,0.028799507198994597,-0.6716997266967835,-0.03957345163128417,0.5179363731510043
leverage,0.25,8,0.43928982454806786,2.3187366480520177,0.027929367776069997,0.05121452730454268,0.827365121791593,0.5179363731510043
trade_partners_macro,0.25,8,0.3614752476999631,0.8932965032992451,0.37931232643008006,-0.4674191633226743,1.1903696587226005,0.5179363731510043
euro_area_fci,0.25,8,-0.1929271612628117,-0.7677387353562205,0.44906881558276157,-0.7076769801496519,0.3218226576240284,0.5179363731510043
world_fci,0.25,8,0.13922406684982588,0.9390783356814547,0.3557214494663725,-0.164464733124472,0.4429128668241238,0.5179363731510043
autoreg,0.25,8,-0.002400755404686014,-0.0052396267485233525,0.9958565552930424,-0.9409646556001131,0.9361631447907411,0.5179363731510043
Intercept,0.5,8,-0.18658079930451074,-2.4826669549543943,0.019302772673329863,-0.3405255082613533,-0.03263609034766815,0.48960544942101125
domestic_fci,0.5,8,-0.46954987711510093,-5.201849528709364,1.5973433401897417e-05,-0.654451288892441,-0.28464846533776095,0.48960544942101125
leverage,0.5,8,0.08533685822616696,0.7741570488810015,0.4453259028076886,-0.1404631007117752,0.3111368171641091,0.48960544942101125
trade_partners_macro,0.5,8,0.8862521665056684,4.070239015969633,0.0003479766052620785,0.4402328393411078,1.3322714936702291,0.48960544942101125
euro_area_fci,0.5,8,-0.027726469934154636,-0.23022396000188683,0.8195914920005505,-0.2744214665341088,0.21896852666579955,0.48960544942101125
world_fci,0.5,8,-0.007717935648951795,-0.09287889106728436,0.9266611635847664,-0.17793394836788157,0.162498077069978,0.48960544942101125
autoreg,0.5,8,-0.25339846625243795,-1.071630736881736,0.2930362008134388,-0.7377660848052999,0.23096915230042403,0.48960544942101125
Intercept,0.75,8,-0.025840087860406973,-0.22871499670874976,0.8207527012636112,-0.25726794033864936,0.2055877646178354,0.5265590288389983
domestic_fci,0.75,8,-0.4173278506994475,-2.9176976779402195,0.0068787395065227075,-0.7103182301709434,-0.12433747122795152,0.5265590288389983
leverage,0.75,8,0.019533180660456152,0.13575545304513553,0.8929859129785349,-0.27520199107185056,0.3142683523927629,0.5265590288389983
trade_partners_macro,0.75,8,0.8879271559335105,2.7268852707540536,0.010908238225406007,0.22092574332725612,1.554928568539765,0.5265590288389983
euro_area_fci,0.75,8,0.13517041810126762,0.9019873194245621,0.3747575772222682,-0.1718006931719247,0.44214152937445994,0.5265590288389983
world_fci,0.75,8,0.20952088408836556,1.5876200334075197,0.12360217481785032,-0.06081084912912277,0.4798526173058539,0.5265590288389983
autoreg,0.75,8,-0.447913747584291,-1.3726652883338213,0.1807520090640388,-1.1163284931583066,0.2205009979897246,0.5265590288389983
Intercept,0.9,8,0.08210400035569226,,,,,0.5846575958580165
domestic_fci,0.9,8,-0.3701496941953816,,,,,0.5846575958580165
leverage,0.9,8,-0.0008846418843860484,,,,,0.5846575958580165
trade_partners_macro,0.9,8,0.65606747213901,,,,,0.5846575958580165
euro_area_fci,0.9,8,0.2934929175884741,,,,,0.5846575958580165
world_fci,0.9,8,0.11976675718285652,,,,,0.5846575958580165
autoreg,0.9,8,-0.282456515871989,,,,,0.5846575958580165
